day,country_code,request_types,requests
2021-07-25,US,auth,5419708.49344
2021-07-26,US,New Envelope,8328507.0
2021-07-26,US,RTIS,93321376.0
2021-07-26,US,Refresh,4422978.0
2021-07-26,US,auth,5837413.7740800008
2021-07-27,US,New Envelope,8156289.0
2021-07-27,US,RTIS,95658901.0
2021-07-27,US,Refresh,4535763.0
2021-07-27,US,auth,5765725.4841600014
2021-07-28,US,New Envelope,7649214.0
2021-07-28,US,RTIS,93840288.0
2021-07-28,US,Refresh,4626619.0
2021-07-28,US,auth,5496753.8361599986
2021-07-29,US,New Envelope,7978709.0
2021-07-29,US,RTIS,93501173.0
2021-07-29,US,Refresh,4641263.0
2021-07-29,US,auth,5689214.0089599984
2021-07-30,US,New Envelope,6661585.0
2021-07-30,US,RTIS,74393230.0
2021-07-30,US,Refresh,3747015.0
2021-07-30,US,auth,4719302.9023999991
2021-07-31,US,New Envelope,6985720.0
2021-07-31,US,RTIS,77019352.0
2021-07-31,US,Refresh,3757060.0
2021-07-31,US,auth,4907585.6768000023
2021-08-01,US,New Envelope,7535626.0
2021-08-01,US,RTIS,80378157.0
2021-08-01,US,Refresh,3743042.0
2021-08-01,US,auth,5219559.45344
2021-08-02,US,New Envelope,8163284.0
2021-08-02,US,RTIS,93847245.0
2021-08-02,US,Refresh,4572279.0
2021-08-02,US,auth,5778500.536960003
2021-08-03,US,New Envelope,8495214.0
2021-08-03,US,RTIS,94817105.0
2021-08-03,US,Refresh,4734131.0
2021-08-03,US,auth,6007686.9561599987
2021-08-04,US,New Envelope,8037095.0
2021-08-04,US,RTIS,93649102.0
2021-08-04,US,Refresh,4747605.0
2021-08-04,US,auth,5748216.9567999989
2021-08-05,US,New Envelope,7756641.0
2021-08-05,US,RTIS,91828174.0
2021-08-05,US,Refresh,4703959.0
2021-08-05,US,auth,5576918.3750399994
2021-08-06,US,New Envelope,7714900.0
2021-08-06,US,RTIS,88657703.0
2021-08-06,US,Refresh,4423281.0
2021-08-06,US,auth,5485619.6960000042
2021-08-07,US,New Envelope,7677213.0
2021-08-07,US,RTIS,79699448.0
2021-08-07,US,Refresh,3781807.0
2021-08-07,US,auth,5310054.70272
2021-08-08,US,New Envelope,8109064.0
2021-08-08,US,RTIS,82582031.0
2021-08-08,US,Refresh,3825528.0
2021-08-08,US,auth,5568188.3801599992
2021-08-09,US,New Envelope,8222778.0
2021-08-09,US,RTIS,94062655.0
2021-08-09,US,Refresh,4704021.0
2021-08-09,US,auth,5844234.8563199993
2021-08-10,US,New Envelope,7863746.0
2021-08-10,US,RTIS,97459208.0
2021-08-10,US,Refresh,4898678.0
2021-08-10,US,auth,5685069.2262400016
2021-08-11,US,New Envelope,7989357.0
2021-08-11,US,RTIS,96593914.0
2021-08-11,US,Refresh,4942666.0
2021-08-11,US,auth,5767656.7180799982
2021-08-12,US,New Envelope,8040504.0
2021-08-12,US,RTIS,95329457.0
2021-08-12,US,Refresh,4861119.0
2021-08-12,US,auth,5777415.1737599988
2021-08-13,US,New Envelope,7914897.0
2021-08-13,US,RTIS,92035492.0
2021-08-13,US,Refresh,4606459.0
2021-08-13,US,auth,5644268.695679999
2021-08-14,US,New Envelope,7768663.0
2021-08-14,US,RTIS,81772528.0
2021-08-14,US,Refresh,3939173.0
2021-08-14,US,auth,5400263.63072
2021-08-15,US,New Envelope,8240380.0
2021-08-15,US,RTIS,83016876.0
2021-08-15,US,Refresh,3982371.0
2021-08-15,US,auth,5681132.5472
2021-08-16,US,New Envelope,8123375.0
2021-08-16,US,RTIS,99542003.0
2021-08-16,US,Refresh,4969838.0
2021-08-16,US,auth,5851029.2799999993
2021-08-17,US,New Envelope,8005691.0
2021-08-17,US,RTIS,96256209.0
2021-08-17,US,Refresh,5167731.0
2021-08-17,US,auth,5831038.8870400032
2021-08-18,US,New Envelope,7834644.0
2021-08-18,US,RTIS,91757052.0
2021-08-18,US,Refresh,5177037.0
2021-08-18,US,auth,5735187.13536
2021-08-19,US,New Envelope,7779658.0
2021-08-19,US,RTIS,90665537.0
2021-08-19,US,Refresh,5091407.0
2021-08-19,US,auth,5683104.7635200005
2021-08-20,US,New Envelope,7648195.0
2021-08-20,US,RTIS,85758774.0
2021-08-20,US,Refresh,4938018.0
2021-08-20,US,auth,5570905.2608000012
2021-08-21,US,New Envelope,7368041.0
2021-08-21,US,RTIS,75696474.0
2021-08-21,US,Refresh,4178573.0
2021-08-21,US,auth,5227986.9510400016
2021-08-22,US,New Envelope,7937244.0
2021-08-22,US,RTIS,79608614.0
2021-08-22,US,Refresh,4262078.0
2021-08-22,US,auth,5574431.9193599988
2021-08-23,US,New Envelope,7924696.0
2021-08-23,US,RTIS,91429745.0
2021-08-23,US,Refresh,5254877.0
2021-08-23,US,auth,5805508.1542400047
2021-08-24,US,New Envelope,8209120.0
2021-08-24,US,RTIS,93030524.0
2021-08-24,US,Refresh,5605817.0
2021-08-24,US,auth,6052833.8528
2021-08-25,US,New Envelope,7684237.0
2021-08-25,US,RTIS,93152910.0
2021-08-25,US,Refresh,5777396.0
2021-08-25,US,auth,5793023.9052800024
2021-08-26,US,New Envelope,7749291.0
2021-08-26,US,RTIS,95119968.0
2021-08-26,US,Refresh,5757310.0
2021-08-26,US,auth,5825507.8310399987
2021-08-27,US,New Envelope,9019749.0
2021-08-27,US,RTIS,90832908.0
2021-08-27,US,Refresh,5536588.0
2021-08-27,US,auth,6501065.986560001
2021-08-28,US,New Envelope,7880745.0
2021-08-28,US,RTIS,81376720.0
2021-08-28,US,Refresh,4589112.0
2021-08-28,US,auth,5620521.2928
2021-08-29,US,New Envelope,7830713.0
2021-08-29,US,RTIS,84560617.0
2021-08-29,US,Refresh,4581379.0
2021-08-29,US,auth,5589975.0227200054
2021-08-30,US,New Envelope,8271461.0
2021-08-30,US,RTIS,98266258.0
2021-08-30,US,Refresh,5790513.0
2021-08-30,US,auth,6132909.7158399979
2021-08-31,US,New Envelope,7933896.0
2021-08-31,US,RTIS,97541554.0
2021-08-31,US,Refresh,6020782.0
2021-08-31,US,auth,5994601.00223999
2021-09-01,US,New Envelope,6716704.0
2021-09-01,US,RTIS,78774479.0
2021-09-01,US,Refresh,4876311.0
2021-09-01,US,auth,5021941.3817600012
2021-09-02,US,New Envelope,27.0
2021-09-02,US,RTIS,1263.0
2021-09-02,US,Refresh,158.0
2021-09-02,US,auth,53.402879999999989
2021-09-03,US,New Envelope,7299360.0
2021-09-03,US,RTIS,86421468.0
2021-09-03,US,Refresh,4923612.0
2021-09-03,US,auth,5367411.8783999979
2021-09-04,US,New Envelope,7391063.0
2021-09-04,US,RTIS,76141716.0
2021-09-04,US,Refresh,4104285.0
2021-09-04,US,auth,5223359.5667200014
2021-09-05,US,New Envelope,7778946.0
2021-09-05,US,RTIS,77290785.0
2021-09-05,US,Refresh,4012754.0
2021-09-05,US,auth,5423819.754239996
2021-09-06,US,New Envelope,8312118.0
2021-09-06,US,RTIS,82017966.0
2021-09-06,US,Refresh,4280478.0
2021-09-06,US,auth,5793815.6659199959
2021-09-07,US,New Envelope,8135128.0
2021-09-07,US,RTIS,92014255.0
2021-09-07,US,Refresh,5246784.0
2021-09-07,US,auth,5924235.9603199977
2021-09-08,US,New Envelope,7783287.0
2021-09-08,US,RTIS,91474432.0
2021-09-08,US,Refresh,5458088.0
2021-09-08,US,auth,5773189.2172799939
2021-09-09,US,New Envelope,7831838.0
2021-09-09,US,RTIS,91038646.0
2021-09-09,US,Refresh,5468670.0
