day,country_code,publisher,config_name,request_types,requests
2023-08-14,US,13572,NA_US_Buzzfeed_ATS,New Envelope,5.0
2023-08-14,US,13574,e2etests: facebook env,New Envelope,384.0
2023-08-14,US,13579,NA_US_Car Gurus_ATS,New Envelope,3.0
2023-08-14,US,13596,NA_US_Times of Israel_ATS,New Envelope,44.0
2023-08-14,US,13603,NA_US_Hearst_ATS,New Envelope,55967.0
2023-08-14,US,13605,NA_US_Tory Burch_ATS4M,New Envelope,25145.0
2023-08-14,US,13608,LATAM_AR_152Media_Radiocut,New Envelope,6.0
2023-08-14,US,13610,NA_US_Williams Sonoma_ATS4M,New Envelope,516545.0
2023-08-14,US,13618,NA_US_Bath And Body Works_ATS4M,New Envelope,927829.0
2023-08-14,US,13669,NA_US_JasonC_Test,New Envelope,1.0
2023-08-14,US,13671,Chris Campbell Testing Placement,New Envelope,1.0
2023-08-14,US,13672,NA_US_SportsKeeda_ATS,New Envelope,226.0
2023-08-14,US,13683,EU_GB_PhoneArena_ATS,New Envelope,29.0
2023-08-14,US,13688,NA_US_Trusted Media Brands_ATS,New Envelope,2924.0
2023-08-14,US,13695,NA_US_9Gag_ATS,New Envelope,3926.0
2023-08-14,US,13698,NA_US_Einthusan_ATS,New Envelope,14.0
2023-08-14,US,13704,NA_US_Valnet_ATS,New Envelope,1539.0
2023-08-14,US,13727,NA_US_TimeHop(NimbusAPI)_ATS,New Envelope,890626.0
2023-08-14,US,13731,NA_US_MediaLab_ATS,New Envelope,1106294.0
2023-08-14,US,13735,NA_US_LaTimes_ATS,New Envelope,33542.0
2023-08-14,US,13737,NA_US_Kraft_ATS4M,New Envelope,8.0
2023-08-14,US,13747,NA_US_US News_ATS,New Envelope,8272.0
2023-08-14,US,13748,NA_US_PBH Network_ATS,New Envelope,3.0
2023-08-14,US,13761,NA_US_Alpha Brands_ATS,New Envelope,175.0
2023-08-14,US,13765,NA_US_The Soul Publishing_ATS,New Envelope,20.0
2023-08-14,US,13771,NA_US_Earthlink_ATS,New Envelope,22420.0
2023-08-14,US,13773,NA_US_Learfield_ATS4M,New Envelope,76.0
2023-08-14,US,13777,EU_ES_Prisa,New Envelope,194.0
2023-08-14,US,13779,NA_US_Cars.com_ATS4M,New Envelope,6961.0
2023-08-14,US,13780,NA_US_Boston Globe_ATS,New Envelope,358.0
2023-08-14,US,13790,LATAM_MX_Grupos Medios_ATS,New Envelope,3.0
2023-08-14,US,13792,NA_US_Ranker_ATS,New Envelope,117.0
2023-08-14,US,13793,NA_US_TruthInitiative_ATS4M,New Envelope,6.0
2023-08-14,US,13794,NA_US_La-Z-Boy_ATS4M,New Envelope,1829.0
2023-08-14,US,13796,NA_US_Ziff Davis - IGN_ATS,New Envelope,1.0
2023-08-14,US,13801,NA_US_Safelite_ATS4M,New Envelope,19702.0
2023-08-14,US,13802,NA_US_Haven Life_ATS4M,New Envelope,394.0
2023-08-14,US,13810,NA_US_Cinedigm_ATS,New Envelope,33.0
2023-08-14,US,13812,LATAM_MX_Imagen Digital_ATS,New Envelope,9.0
2023-08-14,US,13815,na_us_minute media_ats,New Envelope,69.0
